symbol,signal,option_type,strike_price,current_price,atm_strike,distance_from_atm,option_ltp,option_change,option_change_percentage,oi,coi,volume,iv,delta,gamma,pcr_oi,pcr_volume,oi_ratio,strike_score,selection_reason,signal_reason,timestamp
RELIANCE,SELL,PE,1540,1543.7,1540,0,6.5,-0.7999999999999998,-10.958904109589039,3214,-579,44155,13.89,0,0,0.69,0.55,0.52,64.71,ATM Strike | Long Unwinding | High Volume | Low IV,"Bearish: PCR(0.69), OI_Ratio(0.52)",2025-11-22 16:25:17
TCS,SELL,PE,3140,3150.0,3140,0,18.5,-4.550000000000001,-19.739696312364426,1408,-96,15889,18.77,0,0,0.64,0.41,0.46,64.34,ATM Strike | Long Unwinding | High Volume | Low IV,"Bearish: PCR(0.64), OI_Ratio(0.46)",2025-11-22 16:25:19
INFY,SELL,PE,1540,1544.1,1540,0,10.3,-5.949999999999999,-36.61538461538461,2474,-818,19312,20.18,0,0,0.73,0.56,0.65,62.82,ATM Strike | Long Unwinding | High Volume,"Bearish: PCR(0.73), OI_Ratio(0.65)",2025-11-22 16:25:21
HDFCBANK,SELL,PE,995,998.0,1000,1,4.25,2.4,129.7297297297297,1039,-601,12801,14.61,0,0,0.6,0.77,0.5,56.08,Near-ATM | Long Unwinding | High Volume | Low IV,"Bearish: PCR(0.6), OI_Ratio(0.50)",2025-11-22 16:25:22
ICICIBANK,STRONG SELL,PE,1360,1369.0,1370,1,4.55,2.75,152.77777777777777,1196,-208,10403,15.49,0,0,0.58,0.61,0.68,56.73,Near-ATM | Long Unwinding | High Volume | Low IV,"Strong Bearish: PCR(0.58), OI_Ratio(0.68)",2025-11-22 16:25:24
KOTAKBANK,STRONG SELL,PE,2080,2086.5,2080,0,13.1,5.449999999999999,71.24183006535947,1147,-249,10371,19.7,0,0,0.46,0.56,0.63,65.79,ATM Strike | Long Unwinding | High Volume | Low IV,"Strong Bearish: PCR(0.46), OI_Ratio(0.63)",2025-11-22 16:25:25
BHARTIARTL,SELL,PE,2160,2165.0,2160,0,13.6,-0.3000000000000007,-2.158273381294969,1480,-83,11966,18.87,0,0,0.63,0.55,0.51,64.36,ATM Strike | Long Unwinding | High Volume | Low IV,"Bearish: PCR(0.63), OI_Ratio(0.51)",2025-11-22 16:25:28
ITC,STRONG SELL,PE,407,408.0,407,0,1.35,-1.75,-56.4516129032258,548,162,2372,10.48,0,0,0.47,0.41,0.57,65.71,ATM Strike | Fresh Long Buildup | High Volume | Low IV,"Strong Bearish: PCR(0.47), OI_Ratio(0.57)",2025-11-22 16:25:30
SBIN,SELL,PE,970,972.45,970,0,3.0,0.9500000000000002,46.34146341463416,2890,-876,18964,11.2,0,0,0.78,0.76,0.58,66.59,ATM Strike | Long Unwinding | High Volume | Low IV,"Bearish: PCR(0.78), OI_Ratio(0.58)",2025-11-22 16:25:32
